Azonosító: 1, kikölcsönzések száma: 8
Azonosító: 2, kikölcsönzések száma: 6
Azonosító: 3, kikölcsönzések száma: 5
Azonosító: 4, kikölcsönzések száma: 5
Azonosító: 5, kikölcsönzések száma: 5
Azonosító: 6, kikölcsönzések száma: 5
Azonosító: 7, kikölcsönzések száma: 5
Azonosító: 8, kikölcsönzések száma: 6
Azonosító: 9, kikölcsönzések száma: 6
Azonosító: 10, kikölcsönzések száma: 6
Azonosító: 11, kikölcsönzések száma: 6
Azonosító: 12, kikölcsönzések száma: 6
Azonosító: 13, kikölcsönzések száma: 6
Azonosító: 14, kikölcsönzések száma: 5
Azonosító: 15, kikölcsönzések száma: 5
Azonosító: 16, kikölcsönzések száma: 5
Azonosító: 17, kikölcsönzések száma: 5
Azonosító: 18, kikölcsönzések száma: 5
Azonosító: 19, kikölcsönzések száma: 5
Azonosító: 20, kikölcsönzések száma: 5
Azonosító: 21, kikölcsönzések száma: 6
Azonosító: 22, kikölcsönzések száma: 5
Azonosító: 23, kikölcsönzések száma: 5
Azonosító: 24, kikölcsönzések száma: 5
Azonosító: 25, kikölcsönzések száma: 5
